pk,section
4,Global Development
11,Environment
13,Science
16,Sport
17,Travel
22,GLabs
23,Careers (PN)
24,Culture (PN)
25,Global Development (PN)
26,Healthcare (PN)
27,Higher Education (PN)
28,Housing (PN)
29,Media (PN)
30,Public Leaders (PN)
31,Small Business (PN)
32,Social Care (PN)
34,Sustainable Business (PN)
35,Voluntary Sector (PN)
36,Teacher (PN)
37,Women Leaders (PN)
38,Student (PN)
39,Comment is Free
40,Developer Blog
41,World News
43,Arts
44,Books
45,Business
46,Consumer Affairs
47,Features
48,Health
49,International Networks
50,Life and Style
51,Long Read
53,Obituaries
54,Reviews
56,UK News
57,US News
58,AU News
61,Sustainability
62,Training
63,The Guide
64,Education Pages
65,Media Pages
66,Society Pages
59,Education News
60,Society News
52,Media News
67,100 Voices (Project)
68,Planning
69,Archive
70,Education Centre
77,neals Test section
78,new-section
79,best section ever
80,a section
81,Testing 0621-01
82,Research & Information
83,hi
84,new test section
85,Michaels Section
86,Saturday2
87,Animals
92,yowzers
93,Recipes Data
95,RENAME ME TOO
96,RENAM ME TOO
